,filename,y_coord,x_coord,category
0,0.jpg,31.0,4238.0,pups
1,0.jpg,41.0,4240.0,adult_females
2,0.jpg,59.0,4722.0,juveniles
3,0.jpg,74.0,3833.0,adult_females
4,0.jpg,80.0,2756.0,pups
5,0.jpg,87.0,3891.0,pups
6,0.jpg,89.0,4441.0,pups
7,0.jpg,94.0,4470.0,adult_females
8,0.jpg,102.0,2946.0,adult_females
9,0.jpg,103.0,4750.0,adult_females
10,0.jpg,106.0,4835.0,adult_males
11,0.jpg,109.0,2724.0,adult_females
12,0.jpg,111.0,3925.0,adult_females
13,0.jpg,134.0,4606.0,pups
14,0.jpg,135.0,3018.0,pups
15,0.jpg,140.0,3700.0,adult_females
16,0.jpg,140.0,4421.0,pups
17,0.jpg,148.0,4575.0,adult_females
18,0.jpg,153.0,2620.0,pups
19,0.jpg,156.0,2076.0,pups
20,0.jpg,158.0,2643.0,adult_females
21,0.jpg,163.0,3859.0,adult_females
22,0.jpg,167.0,2141.0,adult_females
23,0.jpg,168.0,4524.0,adult_females
24,0.jpg,170.0,2433.0,pups
25,0.jpg,171.0,4947.0,juveniles
26,0.jpg,182.0,4803.0,adult_females
27,0.jpg,183.0,3028.0,adult_females
28,0.jpg,187.0,2482.0,adult_females
29,0.jpg,193.0,3384.0,adult_females
30,0.jpg,193.0,3749.0,adult_females
31,0.jpg,193.0,3764.0,pups
32,0.jpg,203.0,2089.0,adult_females
33,0.jpg,205.0,2747.0,adult_females
34,0.jpg,205.0,3075.0,pups
35,0.jpg,207.0,2912.0,adult_females
36,0.jpg,209.0,2136.0,pups
37,0.jpg,210.0,2720.0,pups
38,0.jpg,211.0,2544.0,pups
39,0.jpg,211.0,2814.0,adult_females
40,0.jpg,215.0,2331.0,adult_females
41,0.jpg,219.0,3402.0,pups
42,0.jpg,220.0,3793.0,pups
43,0.jpg,220.0,3919.0,adult_females
44,0.jpg,224.0,3828.0,adult_females
45,0.jpg,225.0,3513.0,adult_females
46,0.jpg,227.0,2559.0,adult_females
47,0.jpg,237.0,2043.0,pups
48,0.jpg,238.0,3252.0,adult_females
49,0.jpg,244.0,2063.0,adult_females
50,0.jpg,254.0,2451.0,pups
51,0.jpg,255.0,3407.0,adult_females
52,0.jpg,258.0,2962.0,adult_females
53,0.jpg,267.0,3733.0,adult_females
54,0.jpg,269.0,2339.0,adult_females
55,0.jpg,271.0,2812.0,pups
56,0.jpg,271.0,3096.0,adult_females
57,0.jpg,275.0,2849.0,adult_females
58,0.jpg,276.0,3756.0,pups
59,0.jpg,277.0,2429.0,adult_females
60,0.jpg,277.0,3590.0,pups
61,0.jpg,280.0,2905.0,adult_females
62,0.jpg,281.0,3401.0,pups
63,0.jpg,284.0,3617.0,adult_females
64,0.jpg,297.0,4344.0,adult_females
65,0.jpg,304.0,3104.0,pups
66,0.jpg,309.0,2609.0,adult_males
67,0.jpg,311.0,4197.0,adult_females
68,0.jpg,313.0,2926.0,pups
69,0.jpg,318.0,2149.0,adult_females
70,0.jpg,318.0,3577.0,adult_females
71,0.jpg,320.0,3280.0,adult_females
72,0.jpg,333.0,4544.0,pups
73,0.jpg,339.0,3438.0,adult_females
74,0.jpg,340.0,3888.0,adult_females
75,0.jpg,341.0,3750.0,pups
76,0.jpg,342.0,2708.0,adult_females
77,0.jpg,343.0,2092.0,juveniles
78,0.jpg,346.0,1814.0,adult_females
79,0.jpg,354.0,3451.0,pups
80,0.jpg,358.0,3733.0,adult_females
81,0.jpg,358.0,3994.0,adult_females
82,0.jpg,365.0,3281.0,juveniles
83,0.jpg,377.0,4246.0,adult_females
84,0.jpg,379.0,4557.0,adult_females
85,0.jpg,385.0,3984.0,pups
86,0.jpg,388.0,3609.0,pups
87,0.jpg,389.0,2390.0,adult_females
88,0.jpg,392.0,2946.0,pups
89,0.jpg,400.0,2970.0,adult_females
90,0.jpg,404.0,4075.0,adult_females
91,0.jpg,406.0,4332.0,adult_females
92,0.jpg,411.0,3143.0,adult_females
93,0.jpg,412.0,2891.0,adult_males
94,0.jpg,418.0,3464.0,juveniles
95,0.jpg,419.0,3530.0,adult_females
96,0.jpg,420.0,2535.0,pups
97,0.jpg,422.0,3121.0,pups
98,0.jpg,427.0,1924.0,adult_females
99,0.jpg,427.0,4279.0,adult_females
100,0.jpg,428.0,2664.0,pups
101,0.jpg,429.0,3622.0,adult_females
102,0.jpg,431.0,1823.0,adult_males
103,0.jpg,432.0,3511.0,pups
104,0.jpg,436.0,3867.0,adult_females
105,0.jpg,445.0,4463.0,adult_females
106,0.jpg,448.0,2434.0,pups
107,0.jpg,449.0,3308.0,adult_males
108,0.jpg,450.0,3985.0,adult_females
109,0.jpg,450.0,4623.0,pups
110,0.jpg,454.0,2683.0,adult_females
111,0.jpg,455.0,4082.0,adult_females
112,0.jpg,456.0,3376.0,adult_females
113,0.jpg,456.0,3450.0,adult_females
114,0.jpg,460.0,1885.0,pups
115,0.jpg,462.0,3858.0,pups
116,0.jpg,466.0,4656.0,adult_females
117,0.jpg,472.0,4462.0,juveniles
118,0.jpg,473.0,4105.0,adult_males
119,0.jpg,480.0,4007.0,pups
120,0.jpg,486.0,4065.0,adult_females
121,0.jpg,488.0,1876.0,adult_females
122,0.jpg,488.0,3208.0,adult_females
123,0.jpg,490.0,4352.0,juveniles
124,0.jpg,492.0,4305.0,juveniles
125,0.jpg,499.0,3666.0,adult_females
